precio,aream2,toilets,garajes,estrato
820000000,171.0,3,2,6
205000000,77.0,3,1,4
215000000,60.0,2,1,4
258500000,72.0,2,0,4
270000000,84.0,2,1,5
210000000,70.0,3,1,5
375000000,108.0,3,4,5
190000000,55.0,2,0,3
695000000,141.0,4,2,6
290000000,60.0,2,0,4
230000000,66.0,2,0,4
460000000,125.0,3,2,6
498000000,69.0,2,1,6
200000000,62.0,2,0,4
540000000,112.0,3,2,6
205000000,77.0,2,0,4
295000000,72.0,2,1,5
248000000,65.0,2,1,3
170000000,65.0,2,1,4
410000000,88.0,2,1,5
219900000,65.0,2,0,4
340000000,96.0,3,1,4
750000000,190.0,4,2,6
650000000,184.0,4,2,6
400000000,82.0,2,2,6
350000000,148.0,3,2,5
295000000,86.0,2,1,4
960000000,245.0,6,2,6
265000000,68.0,2,1,5
298000000,74.0,2,1,5
146000000,58.0,2,0,3
270000000,70.0,2,1,4
950000000,169.0,3,2,6
305000000,79.0,2,1,5
750000000,200.0,4,2,5
355000000,90.0,2,1,5
470000000,87.0,2,2,5
215000000,62.0,2,1,4
223000000,110.0,2,1,4
225000000,69.0,2,1,5
169200000,61.0,2,2,4
327200000,89.0,2,1,5
248000000,64.0,2,1,4
480000000,124.0,3,1,6
168000000,60.0,2,1,4
248000000,58.0,2,1,4
170000000,57.0,2,1,4
310000000,136.0,3,1,5
460000000,86.0,2,2,5
750000000,151.0,4,2,6
255000000,76.0,2,1,4
295000000,89.0,2,2,5
320000000,81.0,2,1,5
490000000,73.0,2,2,6
230000000,60.0,2,1,5
270000000,73.0,2,1,4
186000000,62.0,2,1,3
480000000,56.0,2,1,6
260000000,75.0,2,1,4
335000000,71.0,2,1,5
438000000,102.0,2,2,5
548000000,112.0,3,2,6
260000000,85.0,3,2,5
400000000,148.0,3,2,5
620000000,112.0,3,2,6
310000000,72.0,2,1,5
440000000,84.0,2,0,5
190000000,63.0,2,1,4
950000000,165.0,4,2,6
300000000,77.0,2,1,4
650000000,122.0,4,2,6
445000000,98.0,2,1,6
275000000,104.0,2,1,4
298000000,95.0,2,1,5
